#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|           ./6.0.bbs_dataset.raw|  1.50e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.83617319|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.02004069|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.98753984|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.18225629|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.82820467|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.42858576|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.39522412|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.91875851|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.81029155|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.20234192|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.63300378|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.72762230|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.60821233|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.28158111|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.74512549|  PASSED  
             dab_dct| 256|     50000|       1|0.10281844|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.99479577|  PASSED  
        dab_filltree|  32|  15000000|       1|0.69686294|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.98948718|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.44401208|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.05239473|  PASSED  
