#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|         ./3.0.CLMRG_dataset.raw|  1.57e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.97602206|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.95926615|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.74038725|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.74102422|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.90122564|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.77943722|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.61672542|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.81054524|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.79988302|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.24499720|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.24997839|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.48286558|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.56627115|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.02290770|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.79873457|  PASSED  
             dab_dct| 256|     50000|       1|0.31244899|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.59205451|  PASSED  
        dab_filltree|  32|  15000000|       1|0.39097394|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.59137358|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.10170375|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.97895586|  PASSED  
